Names	total	elements
		 Z N F 6 5 2  
		 H S 2 S T 1  
		 F G F 5  
		 J A K 1  
		 P P A R D  
		 M T M R 3  
		 H P 1 B P 3  
		 A C S F 2  
		 W N K 1  
		 F L T 1  
		 T L R 4 
		 S S 1 8 L 1  
		 Z N F 5 9 7  
		 O S B P L 5  
		 Z F Y V E 1 6  
		 L D L R A P 1  
		 T V P 2 3 B  
		 S A T B 1  
		 D E R L 2  
		 D P Y S L 2  
		 P T P N 2 1  
		 P R R 1 4 L  
		 N P M 1  
		 F A M 1 3 C  
		 C R E B 5  
		 T M E M 1 3 2 B  
		 P D L I M 5  
		 N P A S 3  
		 C H D 9  
		 Z N F X 1  
